Data	Wytop
22.11.2017	5950
23.11.2017	6100
24.11.2017	5950
25.11.2017	1000
26.11.2017	1000
27.11.2017	6100
28.11.2017	6350
29.11.2017	6250
30.11.2017	5600
01.12.2017	3900
02.12.2017	1000
03.12.2017	1000
04.12.2017	5500
05.12.2017	5800
06.12.2017	6000
07.12.2017	5600
08.12.2017	4500
09.12.2017	1000
10.12.2017	1000
11.12.2017	5500
12.12.2017	5850
13.12.2017	6050
14.12.2017	5400
15.12.2017	3791
16.12.2017	1000
17.12.2017	1677
18.12.2017	4476
19.12.2017	4782
20.12.2017	5321
21.12.2017	6059
22.12.2017	3890
23.12.2017	
24.12.2017	
25.12.2017	
26.12.2017	
27.12.2017	
28.12.2017	
29.12.2017	
30.12.2017	
31.12.2017	
01.01.2018	
02.01.2018	962
03.01.2018	944
04.01.2018	794
05.01.2018	921
06.01.2018	920
07.01.2018	888
08.01.2018	1985
09.01.2018	5058
10.01.2018	5020
11.01.2018	5656
12.01.2018	5066
13.01.2018	2477
14.01.2018	945
15.01.2018	4654
16.01.2018	5190
17.01.2018	5010
18.01.2018	4962
19.01.2018	4479
20.01.2018	2941
21.01.2018	870
22.01.2018	5483
23.01.2018	5429
24.01.2018	5107
25.01.2018	5495
26.01.2018	4597
27.01.2018	2397
28.01.2018	924
29.01.2018	4288
30.01.2018	5259
31.01.2018	5588
01.02.2018	5024
02.02.2018	4937
03.02.2018	2846
04.02.2018	853
05.02.2018	4865
06.02.2018	5537
07.02.2018	5456
08.02.2018	4467
09.02.2018	4908
10.02.2018	2339
11.02.2018	987
12.02.2018	5592
13.02.2018	5055
14.02.2018	5079
15.02.2018	4773
16.02.2018	4901
17.02.2018	2514
18.02.2018	1002
19.02.2018	5050
20.02.2018	6288
21.02.2018	5202
22.02.2018	6024
23.02.2018	4571
24.02.2018	2700
25.02.2018	1185
26.02.2018	5590
27.02.2018	5689
28.02.2018	5277
01.03.2018	5678
02.03.2018	5460
03.03.2018	2377
04.03.2018	912
05.03.2018	5667
06.03.2018	5228
07.03.2018	6106
08.03.2018	5667
09.03.2018	5977
10.03.2018	2263
11.03.2018	976
12.03.2018	6489
13.03.2018	6260
14.03.2018	5602
15.03.2018	5700
16.03.2018	6012
17.03.2018	2130
18.03.2018	944
19.03.2018	5433
20.03.2018	4923
21.03.2018	4370
22.03.2018	5086
23.03.2018	5413
24.03.2018	3973
25.03.2018	2511
26.03.2018	5408
27.03.2018	5196
28.03.2018	5547
29.03.2018	5624
30.03.2018	3311
31.03.2018	928
01.04.2018	922
02.04.2018	1019
03.04.2018	5354
04.04.2018	5041
05.04.2018	4571
06.04.2018	5081
07.04.2018	985
08.04.2018	964
09.04.2018	5803
10.04.2018	5527
11.04.2018	5085
12.04.2018	5504
13.04.2018	5097
14.04.2018	1987
15.04.2018	988
16.04.2018	6534
17.04.2018	5610
18.04.2018	5126
19.04.2018	5654
20.04.2018	5547
21.04.2018	2334
22.04.2018	910
23.04.2018	4330
24.04.2018	4513
25.04.2018	5195
26.04.2018	4958
27.04.2018	4239
28.04.2018	
29.04.2018	
30.04.2018	
01.05.2018	
02.05.2018	
03.05.2018	1047
04.05.2018	945
05.05.2018	1134
06.05.2018	2861
07.05.2018	5385
08.05.2018	4555
09.05.2018	5129
10.05.2018	5578
11.05.2018	5113
12.05.2018	3906
13.05.2018	945
14.05.2018	5125
15.05.2018	5306
16.05.2018	5687
17.05.2018	5762
18.05.2018	5199
19.05.2018	1982
20.05.2018	963
21.05.2018	4952
22.05.2018	4526
23.05.2018	5450
24.05.2018	5372
25.05.2018	5436
26.05.2018	2424
27.05.2018	1154
28.05.2018	5778
29.05.2018	5135
30.05.2018	4579
31.05.2018	1012
01.06.2018	1047
02.06.2018	1109
03.06.2018	2403
04.06.2018	4845
05.06.2018	5126
06.06.2018	5501
07.06.2018	4996
08.06.2018	5905
09.06.2018	2222
10.06.2018	1008
11.06.2018	4432
12.06.2018	4599
13.06.2018	4797
14.06.2018	4968
15.06.2018	4292
16.06.2018	2803
17.06.2018	1000
18.06.2018	4185
19.06.2018	4592
20.06.2018	4809
21.06.2018	4015
22.06.2018	4672
23.06.2018	3332
24.06.2018	997
25.06.2018	4554
26.06.2018	4515
27.06.2018	4954
28.06.2018	5112
29.06.2018	3818
30.06.2018	1021
01.07.2018	1064
02.07.2018	3926
03.07.2018	4873
04.07.2018	4487
05.07.2018	5002
06.07.2018	4048
07.07.2018	2393
08.07.2018	1100
09.07.2018	5073
10.07.2018	4191
11.07.2018	4476
12.07.2018	5049
13.07.2018	4409
14.07.2018	2905
15.07.2018	1027
16.07.2018	4909
17.07.2018	4514
18.07.2018	4535
19.07.2018	5074
20.07.2018	5017
21.07.2018	2535
22.07.2018	1238
23.07.2018	4558
24.07.2018	5100
25.07.2018	5360
26.07.2018	5020
27.07.2018	4838
28.07.2018	3014
29.07.2018	1451
30.07.2018	4810
31.07.2018	4546
01.08.2018	3810
02.08.2018	2315
03.08.2018	542
04.08.2018	836
05.08.2018	767
06.08.2018	
07.08.2018	
08.08.2018	
09.08.2018	
10.08.2018	
11.08.2018	
12.08.2018	
13.08.2018	
14.08.2018	1110
15.08.2018	5215
16.08.2018	5200
17.08.2018	5285
18.08.2018	5878
19.08.2018	1044
20.08.2018	5489
21.08.2018	5030
22.08.2018	5078
23.08.2018	5018
24.08.2018	3975
25.08.2018	2487
26.08.2018	1315
27.08.2018	5703
28.08.2018	4853
29.08.2018	5993
30.08.2018	5562
31.08.2018	5149
01.09.2018	2420
02.09.2018	1178
03.09.2018	4930
04.09.2018	5106
05.09.2018	5074
06.09.2018	5131
07.09.2018	5244
08.09.2018	3188
09.09.2018	1416
10.09.2018	4686
11.09.2018	5599
12.09.2018	5703
13.09.2018	4883
14.09.2018	5739
15.09.2018	2827
16.09.2018	1336
17.09.2018	5717
18.09.2018	5206
19.09.2018	5702
20.09.2018	5418
21.09.2018	5750
22.09.2018	2692
23.09.2018	1000
24.09.2018	5849
25.09.2018	5776
26.09.2018	5830
27.09.2018	6381
28.09.2018	6235
29.09.2018	3038
30.09.2018	1114
01.10.2018	5788
02.10.2018	6296
03.10.2018	6210
04.10.2018	5758
05.10.2018	5742
06.10.2018	2687
07.10.2018	1105
08.10.2018	5311
09.10.2018	5300
10.10.2018	6435
11.10.2018	6467
12.10.2018	6893
13.10.2018	3178
14.10.2018	1088
15.10.2018	6247
16.10.2018	6732
17.10.2018	5718
18.10.2018	5782
19.10.2018	7023
20.10.2018	2652
21.10.2018	1063
22.10.2018	6196
